id_trial,Period,Rain,AccPrecip,Radn,MaxT,MinT,ThermalTime,AccTT,FracGrowthRate,NutrientStress,TempStress,WaterStress,Start_DOY,Length,End_DOY
29,5,0,0,21.056097825368244,30.16249990463257,15.697500149408976,11.985907336992662,143.83088804391195,1,1,1,0.8947039274456673,213,11,224
29,6,3.7031034601145776,107.39000034332275,15.11517281367861,25.282068910269903,12.781724091233878,9.01213328459489,261.3518652532518,0.8308275872263415,1,0.8308275872263415,0.8890336534330112,225,28,253
29,7,2.002307715324255,52.060000598430634,13.32323169708252,19.753077011841995,4.391153888776898,6.790663841341308,176.557259874874,0.31442308475335057,1,0.31442308475335057,0.9541542961803164,254,25,279
29,8,4.105937443673611,131.38999819755554,6.954699404537678,14.865937560796738,2.7524999952875078,5.511536731990089,176.36917542368286,0.09123437684029341,0.985331997067678,0.09123437684029341,1,280,31,311
29,9,2.662222226460775,23.960000038146973,3.109947270817227,-1.5544444455040827,-6.577777756585015,5,45,0,0.9977735631339298,0,1,312,8,320
29,10,0.20888888835906982,1.8799999952316284,5.793047242694431,-3.726666655805376,-12.603333473205566,5,45,0,1,0,0.9999999999999999,321,8,329
29,11,0.4049999992052714,12.149999976158142,4.7660920699437455,-9.80133341650168,-19.484666633605958,0,0,0,1,0,1,330,29,359
30,1,2.3896773707482124,74.07999849319458,22.15247384963497,20.882580764832035,6.791935515980567,5.203141254624292,161.29737889335306,0.4477741995165425,1,0.4477741995165425,1,110,30,140
30,2,1.869230765562791,24.299999952316284,18.220753596379208,19.415384732759918,8.506923015301044,4.5612630907155,59.296420179301506,0.43573077275202826,1,0.43573077275202826,1,141,12,153
30,3,2.3777777857250637,107.00000035762787,21.32458775838216,26.60844438340929,13.666222190856933,7.477961021179293,336.5082459530682,0.8327999973297119,1,0.8327999973297119,1,154,44,198
30,4,7.487272631038319,82.35999894142151,16.113395430824973,28.62181819568981,17.10636346990412,10.562927903878375,116.19220694266212,0.9841818202625622,1,0.9841818202625622,0.9999999999999999,199,10,209
30,5,4.280909169803966,47.09000086784363,18.780939015475187,32.65363623879173,19.074545513499867,12.8579113753687,141.43702512905568,1,1,1,0.9999999999999999,210,10,220
30,6,1.3191999912261965,32.97999978065491,18.532870445251465,27.467199783325196,12.92319995880127,10.18571391587015,254.64284789675372,0.9178999938964844,1,0.9178999938964844,0.9452320107478587,221,24,245
30,7,2.497692291553204,64.9399995803833,12.690746710850643,21.098076747013973,8.137692300172953,7.187474366257426,186.87433352269306,0.4436346056369635,1,0.4436346056369635,0.9429219528837687,246,25,271
30,8,1.3809374654083513,44.18999889306724,9.047034196555614,13.398750020191073,0.8971875362331048,5.48060899755439,175.3794879217405,0.08903125375509262,0.9844322723460521,0.08903125375509262,1,272,31,303
30,9,0,0,6.925716982947455,13.845555623372396,0.9333333488967683,5.1417566191298265,46.27580957216844,2.2222201029459555e-4,0.9967874597354094,2.2222201029459555e-4,1,304,8,312
30,10,0,0,6.73844176530838,15.643750071525574,-0.5324999876320362,5.163102783851186,41.30482227080949,0.0010625049471855164,1,0.0010625049471855164,0.9999999999999999,313,7,320
30,11,0.5556666692097981,16.670000076293945,3.766773557662964,2.1179999557634197,-6.295000033577283,0.04125466349082688,1.2376399047248066,0.0021833328406016036,1,0.0021833328406016036,1,321,29,350
31,1,2.167096761926528,67.17999961972237,20.702942017586,20.957096745890954,8.062258101278736,5.1109501584668555,158.4394549124725,0.4553064532818333,1,0.4553064532818333,1,115,30,145
31,2,2.6153845603649435,33.99999928474426,19.498193447406475,19.6261536524846,9.404615365541899,4.605286314877638,59.868722093409296,0.45153845090132494,1,0.45153845090132494,1,146,12,158
31,3,2.366315804029766,89.9200005531311,22.68538226579365,27.500263063531172,14.714473724365234,8.670044121478414,329.4616766161797,0.9030921070199264,1,0.9030921070199264,1,159,37,196
31,4,8.238999843597412,82.38999843597412,16.851563358306883,30.186000061035156,18.733000183105467,11.929614410225629,119.29614410225629,1,1,1,0.9999999999999999,197,9,206
31,5,3.0881817557594995,33.96999931335449,18.276271906766024,30.48272705078125,19.274545322765004,12.851700043239472,141.3687004756342,1,1,1,1,207,10,217
31,6,0.61260870228643,14.09000015258789,19.60736432282821,28.00130454353664,14.865652250206988,11.022029145461001,253.506670345603,0.9453478315602178,1,0.9453478315602178,0.9090953374618048,218,22,240
31,7,2.493636333129623,54.8599993288517,13.939697460694747,22.945908936587248,11.367727301337503,8.48426276909709,186.65378092013597,0.641613629731265,1,0.641613629731265,0.6645589620730447,241,21,262
31,8,1.1936667044957479,35.81000113487244,12.319394397735596,17.52500006357829,3.4846666142344476,6.019958183751076,180.59874551253225,0.19918333411216738,0.9827353505571171,0.19918333411216738,1,263,29,292
31,9,0.2777777777777778,2.5,8.637079397837322,11.61888901392619,-1.9422222508324518,5.0631311578279155,45.56818042045124,0,0.9964256132076964,0,0.9999999999999999,293,8,301
31,10,0,0,8.276015102863312,16.826250076293945,1.841249953955412,5.559162654516543,44.47330123613234,0.0578125,1,0.0578125,1,302,7,309
31,11,1.3296666622161866,39.889999866485596,5.253237684567769,8.36900002559026,-2.4766666383172073,0.6809632479903945,20.428897439711836,0.012516666253407796,1,0.012516666253407796,1,310,29,339
32,1,2.167096761926528,67.17999961972237,20.702942017586,20.957096745890954,8.062258101278736,5.1109501584668555,158.4394549124725,0.4553064532818333,1,0.4553064532818333,1,115,30,145
32,2,2.6153845603649435,33.99999928474426,19.498193447406475,19.6261536524846,9.404615365541899,4.605286314877638,59.868722093409296,0.45153845090132494,1,0.45153845090132494,1,146,12,158
