id_trial,id_loc,Site,Latitude,Longitude,Planting,MatDate_Sim,DTM_Sim,sim_start,sim_end,Year,Genetics,Mat,Yield_Sim,Result
76,10,mead_ne,41.15785,-96.42075,2018-05-17,2018-09-09,115,2018-03-17,2019-01-17,2018,1,Generic_MG1,3487.1010900389915,Harvested at Maturity.
77,40,ridgetown_ont,42.4527,-81.8803,2018-05-31,2018-10-11,133,2018-03-31,2019-01-31,2018,1,Generic_MG1,3379.7299006497387,Harvested at Maturity.
78,13,stpauls_ont,43.32515,-81.1402,2018-05-23,2018-10-26,156,2018-03-23,2019-01-23,2018,1,Generic_MG1,3562.6141707140696,Harvested at Maturity.
79,8,woodstock_ont,43.14542,-80.78348,2018-05-25,2018-10-22,150,2018-03-25,2019-01-25,2018,1,Generic_MG1,3618.856914619248,Harvested at Maturity.
80,15,ames_ia,42.0215,-93.7745,2018-05-25,2018-10-10,138,2018-03-25,2019-01-25,2018,2,Generic_MG2,4126.728284997864,Harvested at Maturity.
81,35,pontiac_il,40.82216667,-88.62016667,2018-05-08,2018-09-14,129,2018-03-08,2019-01-08,2018,2,Generic_MG2,3243.705477359389,Harvested at Maturity.
82,17,urbana_il,40.05325,-88.23485,2018-05-07,2018-09-06,122,2018-03-07,2019-01-07,2018,2,Generic_MG2,4098.209904227093,Harvested at Maturity.
83,20,wanatah_in,41.4444,-86.9437,2018-05-25,2018-10-04,132,2018-03-25,2019-01-25,2018,2,Generic_MG2,4009.475776560808,Harvested at Maturity.
84,16,eastlansing_mi,42.6296,-84.4375,2018-06-07,2018-11-12,158,2018-04-07,2019-02-07,2018,2,Generic_MG2,3306.3789657648404,Harvested at Maturity.
85,41,lenawee_mi,41.9,-84.07,2018-05-29,2018-10-19,143,2018-03-29,2019-01-29,2018,2,Generic_MG2,3802.2401853294873,Harvested at Maturity.
86,42,lamberton_mn,44.24095,-95.3115,2018-05-16,2018-10-26,163,2018-03-16,2019-01-16,2018,2,Generic_MG2,4356.395924951895,Harvested at Maturity.
87,43,waseca_mn,44.07345,-93.53225,2018-05-17,2018-10-30,166,2018-03-17,2019-01-17,2018,2,Generic_MG2,4262.7454708183695,Harvested at Maturity.
88,10,mead_ne,41.15785,-96.42075,2018-05-17,2018-09-19,125,2018-03-17,2019-01-17,2018,2,Generic_MG2,3966.0645105131343,Harvested at Maturity.
89,44,hoytville_oh,41.2126,-83.7578,2018-05-30,2018-10-03,126,2018-03-30,2019-01-30,2018,2,Generic_MG2,3803.9755506171705,Harvested at Maturity.
90,18,chatham_ont,42.38,-82.2524,2018-07-07,2018-12-17,163,2018-05-07,2019-03-07,2018,2,Generic_MG2,2088.727914283886,Harvested at Maturity.
91,26,ivesdale_il,39.9481,-88.44975,2018-05-14,2018-10-09,148,2018-03-14,2019-01-14,2018,4,Generic_MG4,5076.350477561265,Harvested at Maturity.
92,45,neoga_il,39.323,-88.452,2018-05-11,2018-10-01,143,2018-03-11,2019-01-11,2018,4,Generic_MG4,5130.681726020486,Harvested at Maturity.
93,17,urbana_il,40.05325,-88.23485,2018-05-08,2018-10-06,151,2018-03-08,2019-01-08,2018,4,Generic_MG4,5311.350344173763,Harvested at Maturity.
94,27,manhattan_ks,38.1326,-96.62,2018-05-18,2018-10-03,138,2018-03-18,2019-01-18,2018,4,Generic_MG4,4515.423298087519,Harvested at Maturity.
95,46,onaga_ks,39.4889,-96.17,2018-05-11,2018-10-10,152,2018-03-11,2019-01-11,2018,4,Generic_MG4,3927.460137801588,Harvested at Maturity.
96,21,ottawa_ks,38.5404,-95.2477,2018-05-15,2018-10-02,140,2018-03-15,2019-01-15,2018,4,Generic_MG4,3866.5934623925136,Harvested at Maturity.
97,47,novelty_mo,39.9428,-92.0534,2018-05-16,2018-10-13,150,2018-03-16,2019-01-16,2018,4,Generic_MG4,4311.690353687834,Harvested at Maturity.
98,29,portagevilleclay_mo,36.3987,-88.6051,2018-05-28,2018-09-25,120,2018-03-28,2019-01-28,2018,4,Generic_MG4,3508.250463301809,Harvested at Maturity.
99,30,portagevilleloam_mo,36.39516667,-89.6102,2018-05-01,2018-09-04,126,2018-03-01,2019-01-01,2018,4,Generic_MG4,3454.777269660228,Harvested at Maturity.
100,48,rockport_mo,40.273,-95.4743,2018-05-22,2018-11-01,163,2018-03-22,2019-01-22,2018,4,Generic_MG4,4423.970262783834,Harvested at Maturity.
101,3,thiefriverfalls_mn,48.1283,-96.2427,2018-06-16,NA,NA,2018-04-16,2019-02-16,2018,-1,Generic_MG00,582.9314305733938,"Stalled, killed."
102,1,crookston_mn,47.805,-96.61426667,2018-05-23,NA,NA,2018-03-23,2019-01-23,2018,0,Generic_MG0,2564.4613231790227,Dead from Frost.
103,31,shelly_mn,47.4264,-96.8317,2018-05-24,2018-11-06,166,2018-03-24,2019-01-24,2018,0,Generic_MG0,2639.4208708145175,Harvested at Maturity.
104,4,casselton_nd,46.8866,-97.2386,2018-05-07,2018-10-08,154,2018-03-07,2019-01-07,2018,0,Generic_MG0,3381.339878335612,Harvested at Maturity.
105,34,morris_mn,45.3552,-95.5436,2018-05-13,2018-10-11,151,2018-03-13,2019-01-13,2018,1,Generic_MG1,4227.318040548088,Harvested at Maturity.
106,19,arthur_il,39.70646667,-88.47023333,2018-05-07,2018-09-16,132,2018-03-07,2019-01-07,2018,3,Generic_MG3,4690.767765571934,Harvested at Maturity.
107,17,urbana_il,40.05325,-88.23485,2018-05-07,2018-09-20,136,2018-03-07,2019-01-07,2018,3,Generic_MG3,4770.325981895843,Harvested at Maturity.
108,20,wanatah_in,41.4444,-86.9437,2018-05-25,2018-10-25,153,2018-03-25,2019-01-25,2018,3,Generic_MG3,4470.808532276722,Harvested at Maturity.
109,47,novelty_mo,39.9428,-92.0534,2018-05-15,2018-09-23,131,2018-03-15,2019-01-15,2018,3,Generic_MG3,3523.078800056323,Harvested at Maturity.
110,48,rockport_mo,40.273,-95.4743,2018-05-23,2018-10-08,138,2018-03-23,2019-01-23,2018,3,Generic_MG3,4066.069945758123,Harvested at Maturity.
111,17,urbana_il,40.05325,-88.23485,2018-05-07,2018-10-06,152,2018-03-07,2019-01-07,2018,4,Generic_MG4,5361.692656347437,Harvested at Maturity.
112,47,novelty_mo,39.9428,-92.0534,2018-05-15,2018-10-11,149,2018-03-15,2019-01-15,2018,4,Generic_MG4,4258.701719100795,Harvested at Maturity.
113,48,rockport_mo,40.273,-95.4743,2018-05-23,2018-11-02,163,2018-03-23,2019-01-23,2018,4,Generic_MG4,4332.471440675566,Harvested at Maturity.
