Site,Latitude,Longitude,Genetics,Planting
wanatah_in,41.4444,-86.9437,2,2018-05-25
eastlansing_mi,42.6296,-84.4375,2,2018-06-07
lenawee_mi,41.9,-84.07,2,2018-05-29
lamberton_mn,44.24095,-95.3115,2,2018-05-16
waseca_mn,44.07345,-93.53225,2,2018-05-17
mead_ne,41.15785,-96.42075,2,2018-05-17
hoytville_oh,41.2126,-83.7578,2,2018-05-30
chatham_ont,42.38,-82.2524,2,2018-07-07
ivesdale_il,39.9481,-88.44975,4,2018-05-14
neoga_il,39.323,-88.452,4,2018-05-11
urbana_il,40.05325,-88.23485,4,2018-05-08
manhattan_ks,38.1326,-96.62,4,2018-05-18
onaga_ks,39.4889,-96.17,4,2018-05-11
ottawa_ks,38.5404,-95.2477,4,2018-05-15
novelty_mo,39.9428,-92.0534,4,2018-05-16
portagevilleclay_mo,36.3987,-88.6051,4,2018-05-28
portagevilleloam_mo,36.39516667,-89.6102,4,2018-05-01
rockport_mo,40.273,-95.4743,4,2018-05-22
thiefriverfalls_mn,48.1283,-96.2427,-1,2018-06-16
crookston_mn,47.805,-96.61426667,0,2018-05-23
shelly_mn,47.4264,-96.8317,0,2018-05-24
casselton_nd,46.8866,-97.2386,0,2018-05-07
morris_mn,45.3552,-95.5436,1,2018-05-13
arthur_il,39.70646667,-88.47023333,3,2018-05-07
urbana_il,40.05325,-88.23485,3,2018-05-07
wanatah_in,41.4444,-86.9437,3,2018-05-25
novelty_mo,39.9428,-92.0534,3,2018-05-15
rockport_mo,40.273,-95.4743,3,2018-05-23
urbana_il,40.05325,-88.23485,4,2018-05-07
novelty_mo,39.9428,-92.0534,4,2018-05-15
rockport_mo,40.273,-95.4743,4,2018-05-23
