CheckpointID,SimulationID,Zone,Date,Year,Month,Day,StageName,Stage,Rain,Radn,MaxT,MinT,Yieldkgha,FracGrowthRate,NutrientStress,TempStress,WaterStress,SimulationName,id_trial
1,1,Field,2002-01-01 12:00:00,2002,1,1,,1,0,5.1902289390563965,-11.720000267028809,-20.760000228881836,0,0,1,0,1,Simulation,33
1,1,Field,2002-01-02 12:00:00,2002,1,2,,1,0,5.543491840362549,-9.220000267028809,-19.079999923706055,0,0,1,0,1,Simulation,33
1,1,Field,2002-01-03 12:00:00,2002,1,3,,1,0,6.026630401611328,-3.359999895095825,-14.699999809265137,0,0,1,0,1,Simulation,33
1,1,Field,2002-01-04 12:00:00,2002,1,4,,1,0,6.266471862792969,1.3799999952316284,-10.850000381469727,0,0,1,0,1,Simulation,33
1,1,Field,2002-01-05 12:00:00,2002,1,5,,1,0,4.3941650390625,0.6899999976158142,-6.5,0,0,1,0,1,Simulation,33
1,1,Field,2002-01-06 12:00:00,2002,1,6,,1,0,5.922417163848877,-2.0799999237060547,-12.670000076293945,0,0,1,0,1,Simulation,33
1,1,Field,2002-01-07 12:00:00,2002,1,7,,1,0,7.296168804168701,3.6700000762939453,-13.930000305175781,0,0,1,0,1,Simulation,33
1,1,Field,2002-01-08 12:00:00,2002,1,8,,1,0,6.583461761474609,9.220000267028809,-4.03000020980835,0,0,1,0,1,Simulation,33
1,1,Field,2002-01-09 12:00:00,2002,1,9,,1,0,3.433187246322632,5.579999923706055,-0.38999998569488525,0,0,1,0,1,Simulation,33
1,1,Field,2002-01-10 12:00:00,2002,1,10,,1,0,3.3333590030670166,2.180000066757202,-3.450000047683716,0,0,1,0,1,Simulation,33
1,1,Field,2002-01-11 12:00:00,2002,1,11,,1,0,5.180361270904541,4.139999866485596,-5.46999979019165,0,0,1,0,1,Simulation,33
1,1,Field,2002-01-12 12:00:00,2002,1,12,,1,0,5.018136978149414,3.569999933242798,-5.440000057220459,0,0,1,0,1,Simulation,33
1,1,Field,2002-01-13 12:00:00,2002,1,13,,1,8.020000457763672,2.098863124847412,-0.49000000953674316,-4.949999809265137,0,0,1,0,1,Simulation,33
1,1,Field,2002-01-14 12:00:00,2002,1,14,,1,16.010000228881836,3.585677146911621,-1.3300000429153442,-8.3100004196167,0,0,1,0,1,Simulation,33
1,1,Field,2002-01-15 12:00:00,2002,1,15,,1,1.559999942779541,3.988966703414917,-5.869999885559082,-11.390000343322754,0,0,1,0,1,Simulation,33
1,1,Field,2002-01-16 12:00:00,2002,1,16,,1,0,5.553377151489258,-5.769999980926514,-13.8100004196167,0,0,1,0,1,Simulation,33
1,1,Field,2002-01-17 12:00:00,2002,1,17,,1,0,7.391659259796143,-7.070000171661377,-19.3799991607666,0,0,1,0,1,Simulation,33
1,1,Field,2002-01-18 12:00:00,2002,1,18,,1,0,8.571223258972168,-6.420000076293945,-25.15999984741211,0,0,1,0,1,Simulation,33
1,1,Field,2002-01-19 12:00:00,2002,1,19,,1,0,8.27215576171875,-2.5799999237060547,-18.040000915527344,0,0,1,0,1,Simulation,33
1,1,Field,2002-01-20 12:00:00,2002,1,20,,1,0,7.746899604797363,-0.6899999976158142,-13.369999885559082,0,0,1,0,1,Simulation,33
1,1,Field,2002-01-21 12:00:00,2002,1,21,,1,0,8.085748672485352,3.2300000190734863,-10.529999732971191,0,0,1,0,1,Simulation,33
1,1,Field,2002-01-22 12:00:00,2002,1,22,,1,0,6.89128303527832,1.5399999618530273,-8.319999694824219,0,0,1,0,1,Simulation,33
1,1,Field,2002-01-23 12:00:00,2002,1,23,,1,0,7.037375450134277,-5.190000057220459,-14.960000038146973,0,0,1,0,1,Simulation,33
1,1,Field,2002-01-24 12:00:00,2002,1,24,,1,0,9.307981491088867,3.259999990463257,-16.18000030517578,0,0,1,0,1,Simulation,33
1,1,Field,2002-01-25 12:00:00,2002,1,25,,1,0,8.679338455200195,7.949999809265137,-6.619999885559082,0,0,1,0,1,Simulation,33
