CheckpointID,SimulationID,Zone,Date,Year,DOY,StageName,Stage,Rain,Radn,MaxT,MinT,ThermalTime,Yieldkgha,FracGrowthRate,NutrientStress,TempStress,WaterStress,SimulationName,id_trial
1,1,Field,1991-06-25 12:00:00,1991,176,Vegetative,3.6820369791434784,2.3499999046325684,17.455671310424805,30.940000534057617,17.739999771118164,10.360396334479189,0,1,1,1,1,Simulation,2
1,1,Field,1991-06-26 12:00:00,1991,177,Vegetative,3.7145979186202687,0,19.490436553955078,30.020000457763672,19.780000686645508,10.940475664201632,0,1,1,1,1,Simulation,2
1,1,Field,1991-06-27 12:00:00,1991,178,Vegetative,3.742267861834813,0,25.137670516967773,29.889999389648438,15.380000114440918,9.29710092008681,0,1,1,1,1,Simulation,2
1,1,Field,1991-06-28 12:00:00,1991,179,Vegetative,3.761223832554837,13.90999984741211,12.91549015045166,22.639999389648438,14.630000114440918,6.369206161927963,0,0.8634999752044679,1,0.8634999752044679,1,Simulation,2
1,1,Field,1991-06-29 12:00:00,1991,180,Vegetative,3.780506403293614,8.359999656677246,14.149214744567871,23.190000534057617,14.329999923706055,6.478943768229185,0,0.8760000228881837,1,0.8760000228881837,1,Simulation,2
1,1,Field,1991-06-30 12:00:00,1991,181,Vegetative,3.8035890910466823,21.5,13.645365715026855,24.739999771118164,16.170000076293945,7.75578308503101,0,1,1,1,1,Simulation,2
1,1,Field,1991-07-01 12:00:00,1991,182,Vegetative,3.828807582240498,0,18.56242561340332,25.829999923706055,16.940000534057617,8.47341304112198,0,1,1,1,0.9999999999999998,Simulation,2
1,1,Field,1991-07-02 12:00:00,1991,183,Vegetative,3.8476026170477082,0,13.362992286682129,21.3799991607666,15.529999732971191,6.315131695222692,0,0.8454999446868897,1,0.8454999446868897,0.9999999999999999,Simulation,2
1,1,Field,1991-07-03 12:00:00,1991,184,Vegetative,3.867328776052931,1.840000033378601,16.31439971923828,22.43000030517578,15.25,6.627989425754904,0,0.8840000152587891,1,0.8840000152587891,0.9999999999999999,Simulation,2
1,1,Field,1991-07-04 12:00:00,1991,185,Vegetative,3.8910567914185785,0,21.058467864990234,25.670000076293945,15.510000228881836,7.972613162857558,0,1,1,1,1,Simulation,2
1,1,Field,1991-07-05 12:00:00,1991,186,Vegetative,3.9190962926963606,1.7300000190734863,24.152587890625,29.049999237060547,15.869999885559082,9.421272429334698,0,1,1,1,0.9999999999999998,Simulation,2
1,1,Field,1991-07-06 12:00:00,1991,187,Vegetative,3.945908488470391,0,25.19477653503418,29.010000228881836,14.710000038146973,9.008897780074255,0,1,1,1,0.9999999999999998,Simulation,2
1,1,Field,1991-07-07 12:00:00,1991,188,Vegetative,3.968057442450771,0,22.138277053833008,25.309999465942383,14.1899995803833,7.442048537407609,0,0.9749999523162842,1,0.9749999523162842,1,Simulation,2
1,1,Field,1991-07-08 12:00:00,1991,189,Vegetative,3.9877389843109614,6.71999979019165,20.030311584472656,26.399999618530273,10.84000015258789,6.6129980650240405,0,0.8619999885559082,1,0.8619999885559082,0.9999999999999998,Simulation,2
1,1,Field,1991-07-09 12:00:00,1991,190,EarlyFlowering,4.032574812179385,0,23.602876663208008,26.729999542236328,14.09000015258789,8.028678733043119,0,1,1,1,1,Simulation,2
1,1,Field,1991-07-10 12:00:00,1991,191,EarlyFlowering,4.104503992397685,0,25.927043914794922,28.84000015258789,13.420000076293945,8.631501626195973,0,1,1,1,0.9999999999999998,Simulation,2
1,1,Field,1991-07-11 12:00:00,1991,192,EarlyFlowering,4.179316682712755,13.180000305175781,15.035039901733398,26.5,16.520000457763672,8.977522837808447,0,1,1,1,1,Simulation,2
1,1,Field,1991-07-12 12:00:00,1991,193,EarlyFlowering,4.246238305958222,2.4000000953674316,15.158402442932129,25.100000381469727,15.369999885559082,8.030594789456,0,1,1,1,1,Simulation,2
