CheckpointID,SimulationID,Zone,Date,Year,DOY,StageName,Stage,Rain,Radn,MaxT,MinT,Yieldkgha,NutrientStress,TempStress,WaterStress,SimulationName,id_trial
1,1,Field,1992-01-01 12:00:00,1992,1,,1,0,1.8347623348236084,1.7100000381469727,-1.2799999713897705,0,0.3,0,1,Simulation,4
1,1,Field,1992-01-02 12:00:00,1992,2,,1,0,1.9998555183410645,1.7899999618530273,-1.4800000190734863,0,0.3,0,1,Simulation,4
1,1,Field,1992-01-03 12:00:00,1992,3,,1,0,5.094112396240234,4.949999809265137,-4.519999980926514,0,0.3,0,1,Simulation,4
1,1,Field,1992-01-04 12:00:00,1992,4,,1,0,5.588973045349121,1.8700000047683716,-8.680000305175781,0,0.3,0,1,Simulation,4
1,1,Field,1992-01-05 12:00:00,1992,5,,1,0,3.426933526992798,1.340000033378601,-4.389999866485596,0,0.3,0,1,Simulation,4
1,1,Field,1992-01-06 12:00:00,1992,6,,1,0,4.232861518859863,-0.1899999976158142,-7.349999904632568,0,0.3,0,1,Simulation,4
1,1,Field,1992-01-07 12:00:00,1992,7,,1,6.559999942779541,2.797311544418335,-0.2199999988079071,-6.329999923706055,0,0.3,0,1,Simulation,4
1,1,Field,1992-01-08 12:00:00,1992,8,,1,6.510000228881836,3.1830976009368896,-2.3299999237060547,-9.239999771118164,0,0.3,0,1,Simulation,4
1,1,Field,1992-01-09 12:00:00,1992,9,,1,0,6.211694240570068,-7.289999961853027,-18.440000534057617,0,0.3,0,1,Simulation,4
1,1,Field,1992-01-10 12:00:00,1992,10,,1,0,7.269691467285156,-0.10000000149011612,-15.510000228881836,0,0.3,0,1,Simulation,4
1,1,Field,1992-01-11 12:00:00,1992,11,,1,0,6.488996505737305,2.8299999237060547,-9.119999885559082,0,0.3,0,1,Simulation,4
1,1,Field,1992-01-12 12:00:00,1992,12,,1,0,4.598494052886963,-1.0499999523162842,-8.279999732971191,0,0.3,0,1,Simulation,4
1,1,Field,1992-01-13 12:00:00,1992,13,,1,0,5.242990970611572,-5.139999866485596,-13.430000305175781,0,0.3,0,1,Simulation,4
1,1,Field,1992-01-14 12:00:00,1992,14,,1,1.0700000524520874,7.082620620727539,-3.9600000381469727,-16.84000015258789,0,0.3,0,1,Simulation,4
1,1,Field,1992-01-15 12:00:00,1992,15,,1,0.7400000095367432,7.883764266967773,-11.640000343322754,-27.559999465942383,0,0.3,0,1,Simulation,4
1,1,Field,1992-01-16 12:00:00,1992,16,,1,0,8.533403396606445,1.3799999952316284,-22.219999313354492,0,0.3,0,1,Simulation,4
