Site,Longitude,Latitude,Planting,Genetics
ARH1_2017,-90.76032575,34.7272515,4/17/2017,84.75
ARH1_2017,-90.76032575,34.7272515,4/17/2017,91.25
ARH1_2017,-90.76032575,34.7272515,4/17/2017,80
ARH1_2017,-90.76032575,34.7272515,4/17/2017,80
ARH1_2017,-90.76032575,34.7272515,4/17/2017,70.5
ARH1_2017,-90.76032575,34.7272515,4/17/2017,91.75
ARH1_2017,-90.76032575,34.7272515,4/17/2017,91.75
ARH1_2017,-90.76032575,34.7272515,4/17/2017,82
ARH1_2017,-90.76032575,34.7272515,4/17/2017,93.75
ARH1_2017,-90.76032575,34.7272515,4/17/2017,80
ARH1_2017,-90.76032575,34.7272515,4/17/2017,78.5
ARH1_2017,-90.76032575,34.7272515,4/17/2017,82
ARH1_2017,-90.76032575,34.7272515,4/17/2017,80.5
ARH1_2017,-90.76032575,34.7272515,4/17/2017,80
ARH1_2017,-90.76032575,34.7272515,4/17/2017,80
ARH1_2017,-90.76032575,34.7272515,4/17/2017,80
ARH1_2017,-90.76032575,34.7272515,4/17/2017,93.75
ARH1_2017,-90.76032575,34.7272515,4/17/2017,82
ARH1_2017,-90.76032575,34.7272515,4/17/2017,80
ARH1_2017,-90.76032575,34.7272515,4/17/2017,80
ARH1_2017,-90.76032575,34.7272515,4/17/2017,80
ARH1_2017,-90.76032575,34.7272515,4/17/2017,100
ARH1_2017,-90.76032575,34.7272515,4/17/2017,104
ARH1_2017,-90.76032575,34.7272515,4/17/2017,80
ARH1_2017,-90.76032575,34.7272515,4/17/2017,89
ARH1_2017,-90.76032575,34.7272515,4/17/2017,72.5
ARH1_2017,-90.76032575,34.7272515,4/17/2017,82
ARH1_2017,-90.76032575,34.7272515,4/17/2017,82
ARH1_2017,-90.76032575,34.7272515,4/17/2017,116.75
ARH1_2017,-90.76032575,34.7272515,4/17/2017,80
ARH1_2017,-90.76032575,34.7272515,4/17/2017,80
ARH1_2017,-90.76032575,34.7272515,4/17/2017,93.75
ARH1_2017,-90.76032575,34.7272515,4/17/2017,77.5
ARH1_2017,-90.76032575,34.7272515,4/17/2017,82
ARH1_2017,-90.76032575,34.7272515,4/17/2017,80
ARH1_2017,-90.76032575,34.7272515,4/17/2017,116.75
ARH1_2017,-90.76032575,34.7272515,4/17/2017,90.25
ARH1_2017,-90.76032575,34.7272515,4/17/2017,100
ARH1_2017,-90.76032575,34.7272515,4/17/2017,96.5
ARH1_2017,-90.76032575,34.7272515,4/17/2017,80
ARH1_2017,-90.76032575,34.7272515,4/17/2017,80
ARH1_2017,-90.76032575,34.7272515,4/17/2017,80.5
ARH1_2017,-90.76032575,34.7272515,4/17/2017,100.75
ARH1_2017,-90.76032575,34.7272515,4/17/2017,91.75
ARH1_2017,-90.76032575,34.7272515,4/17/2017,91.75
ARH1_2017,-90.76032575,34.7272515,4/17/2017,80
ARH1_2017,-90.76032575,34.7272515,4/17/2017,80
ARH1_2017,-90.76032575,34.7272515,4/17/2017,91.75
ARH1_2017,-90.76032575,34.7272515,4/17/2017,91.25
ARH1_2017,-90.76032575,34.7272515,4/17/2017,84
ARH1_2017,-90.76032575,34.7272515,4/17/2017,80
ARH1_2017,-90.76032575,34.7272515,4/17/2017,96.5
ARH1_2017,-90.76032575,34.7272515,4/17/2017,71
ARH1_2017,-90.76032575,34.7272515,4/17/2017,91.75
ARH1_2017,-90.76032575,34.7272515,4/17/2017,82
ARH1_2017,-90.76032575,34.7272515,4/17/2017,80
ARH1_2017,-90.76032575,34.7272515,4/17/2017,100.75
ARH1_2017,-90.76032575,34.7272515,4/17/2017,82
ARH1_2017,-90.76032575,34.7272515,4/17/2017,84.75
ARH1_2017,-90.76032575,34.7272515,4/17/2017,70.5
ARH1_2017,-90.76032575,34.7272515,4/17/2017,80
ARH1_2017,-90.76032575,34.7272515,4/17/2017,69
ARH1_2017,-90.76032575,34.7272515,4/17/2017,71
ARH1_2017,-90.76032575,34.7272515,4/17/2017,90.25
ARH1_2017,-90.76032575,34.7272515,4/17/2017,91.75
ARH1_2017,-90.76032575,34.7272515,4/17/2017,72.5
ARH1_2017,-90.76032575,34.7272515,4/17/2017,78.5
ARH1_2017,-90.76032575,34.7272515,4/17/2017,88
ARH1_2017,-90.76032575,34.7272515,4/17/2017,91.75
ARH1_2017,-90.76032575,34.7272515,4/17/2017,80
ARH1_2017,-90.76032575,34.7272515,4/17/2017,100
ARH1_2017,-90.76032575,34.7272515,4/17/2017,77.5
ARH1_2017,-90.76032575,34.7272515,4/17/2017,91.75
ARH1_2017,-90.76032575,34.7272515,4/17/2017,80
ARH1_2017,-90.76032575,34.7272515,4/17/2017,80
ARH1_2017,-90.76032575,34.7272515,4/17/2017,80
ARH1_2017,-90.76032575,34.7272515,4/17/2017,80
ARH1_2017,-90.76032575,34.7272515,4/17/2017,69
ARH1_2017,-90.76032575,34.7272515,4/17/2017,93.75
ARH1_2018,-90.7603455,34.729679,4/25/2020,80
ARH1_2018,-90.7603455,34.729679,4/25/2020,104
ARH1_2018,-90.7603455,34.729679,4/25/2020,82
ARH1_2018,-90.7603455,34.729679,4/25/2020,100.75
ARH1_2018,-90.7603455,34.729679,4/25/2020,84
ARH1_2018,-90.7603455,34.729679,4/25/2020,82
ARH1_2018,-90.7603455,34.729679,4/25/2020,72.5
ARH1_2018,-90.7603455,34.729679,4/25/2020,80
ARH1_2018,-90.7603455,34.729679,4/25/2020,80
ARH1_2018,-90.7603455,34.729679,4/25/2020,82
ARH1_2018,-90.7603455,34.729679,4/25/2020,80
ARH1_2018,-90.7603455,34.729679,4/25/2020,80
ARH1_2018,-90.7603455,34.729679,4/25/2020,82
ARH1_2018,-90.7603455,34.729679,4/25/2020,82
ARH1_2018,-90.7603455,34.729679,4/25/2020,82
ARH1_2018,-90.7603455,34.729679,4/25/2020,80
ARH1_2018,-90.7603455,34.729679,4/25/2020,84
ARH1_2018,-90.7603455,34.729679,4/25/2020,80
ARH1_2018,-90.7603455,34.729679,4/25/2020,82
ARH1_2018,-90.7603455,34.729679,4/25/2020,70.5
ARH1_2018,-90.7603455,34.729679,4/25/2020,80
ARH1_2018,-90.7603455,34.729679,4/25/2020,91.25
ARH1_2018,-90.7603455,34.729679,4/25/2020,82
ARH1_2018,-90.7603455,34.729679,4/25/2020,70.5
ARH1_2018,-90.7603455,34.729679,4/25/2020,80
ARH1_2018,-90.7603455,34.729679,4/25/2020,80.5
ARH1_2018,-90.7603455,34.729679,4/25/2020,82
ARH1_2018,-90.7603455,34.729679,4/25/2020,82
ARH1_2018,-90.7603455,34.729679,4/25/2020,100.75
ARH1_2018,-90.7603455,34.729679,4/25/2020,78.5
ARH1_2018,-90.7603455,34.729679,4/25/2020,72.5
ARH1_2018,-90.7603455,34.729679,4/25/2020,82
ARH1_2018,-90.7603455,34.729679,4/25/2020,80
ARH1_2018,-90.7603455,34.729679,4/25/2020,80
ARH1_2018,-90.7603455,34.729679,4/25/2020,88
ARH1_2018,-90.7603455,34.729679,4/25/2020,80
ARH1_2018,-90.7603455,34.729679,4/25/2020,104
ARH1_2018,-90.7603455,34.729679,4/25/2020,82
ARH1_2018,-90.7603455,34.729679,4/25/2020,80
ARH1_2018,-90.7603455,34.729679,4/25/2020,71
ARH1_2018,-90.7603455,34.729679,4/25/2020,78.5
ARH1_2018,-90.7603455,34.729679,4/25/2020,96.5
ARH1_2018,-90.7603455,34.729679,4/25/2020,116.75
ARH1_2018,-90.7603455,34.729679,4/25/2020,80
ARH1_2018,-90.7603455,34.729679,4/25/2020,82
ARH1_2018,-90.7603455,34.729679,4/25/2020,82
ARH1_2018,-90.7603455,34.729679,4/25/2020,96.5
ARH1_2018,-90.7603455,34.729679,4/25/2020,116.75
ARH1_2018,-90.7603455,34.729679,4/25/2020,80
ARH1_2018,-90.7603455,34.729679,4/25/2020,82
ARH1_2018,-90.7603455,34.729679,4/25/2020,80.5
ARH1_2018,-90.7603455,34.729679,4/25/2020,80
ARH1_2018,-90.7603455,34.729679,4/25/2020,71
ARH1_2018,-90.7603455,34.729679,4/25/2020,88
ARH1_2018,-90.7603455,34.729679,4/25/2020,80
ARH1_2018,-90.7603455,34.729679,4/25/2020,80
ARH1_2018,-90.7603455,34.729679,4/25/2020,82
ARH1_2018,-90.7603455,34.729679,4/25/2020,91.25
ARH2_2016,-90.66530155,35.838614,4/23/2016,80
ARH2_2016,-90.66530155,35.838614,4/23/2016,80
ARH2_2016,-90.66530155,35.838614,4/23/2016,93.75
ARH2_2016,-90.66530155,35.838614,4/23/2016,82
ARH2_2016,-90.66530155,35.838614,4/23/2016,93.75
ARH2_2016,-90.66530155,35.838614,4/23/2016,116.75
ARH2_2016,-90.66530155,35.838614,4/23/2016,80
ARH2_2016,-90.66530155,35.838614,4/23/2016,82
ARH2_2016,-90.66530155,35.838614,4/23/2016,100.75
ARH2_2016,-90.66530155,35.838614,4/23/2016,91.75
ARH2_2016,-90.66530155,35.838614,4/23/2016,80
ARH2_2016,-90.66530155,35.838614,4/23/2016,88
ARH2_2016,-90.66530155,35.838614,4/23/2016,70.5
ARH2_2016,-90.66530155,35.838614,4/23/2016,91.25
ARH2_2016,-90.66530155,35.838614,4/23/2016,93.75
ARH2_2016,-90.66530155,35.838614,4/23/2016,82
ARH2_2016,-90.66530155,35.838614,4/23/2016,100
