Site,Latitude,Longitude,Genetics,Planting,Year
Site,33.7488,-84.3877,-1,2020-05-01,2020
Site,33.7488,-84.3877,0,2020-05-01,2020
Site,33.7488,-84.3877,1,2020-05-01,2020
Site,33.7488,-84.3877,2,2020-05-01,2020
Site,33.7488,-84.3877,3,2020-05-01,2020
Site,33.7488,-84.3877,4,2020-05-01,2020
Site,33.7488,-84.3877,5,2020-05-01,2020
Site,33.7488,-84.3877,6,2020-05-01,2020
Site,33.7488,-84.3877,7,2020-05-01,2020
