CheckpointID,SimulationID,Zone,Date,Year,Month,Day,StageName,Stage,Rain,Radn,MaxT,MinT,Yieldkgha,FracGrowthRate,NutrientStress,TempStress,WaterStress,SimulationName,id_trial
1,1,Field,1992-01-01 12:00:00,1992,1,1,,1,0,1.863895297050476,1.4500000476837158,-2.299999952316284,0,0,1,0,1,Simulation,5
1,1,Field,1992-01-02 12:00:00,1992,1,2,,1,0,1.9700136184692383,1.9800000190734863,-1.9900000095367432,0,0,1,0,1,Simulation,5
1,1,Field,1992-01-03 12:00:00,1992,1,3,,1,0,3.809004545211792,3.109999895095825,-5.099999904632568,0,0,1,0,1,Simulation,5
1,1,Field,1992-01-04 12:00:00,1992,1,4,,1,0,4.1797075271606445,0.5799999833106995,-8.489999771118164,0,0,1,0,1,Simulation,5
1,1,Field,1992-01-05 12:00:00,1992,1,5,,1,0,4.343088150024414,3.859999895095825,-5.670000076293945,0,0,1,0,1,Simulation,5
1,1,Field,1992-01-06 12:00:00,1992,1,6,,1,0,2.8152694702148438,-0.8399999737739563,-6.380000114440918,0,0,1,0,1,Simulation,5
1,1,Field,1992-01-07 12:00:00,1992,1,7,,1,13.529999732971191,1.447947382926941,-2.200000047683716,-5.820000171661377,0,0,1,0,1,Simulation,5
1,1,Field,1992-01-08 12:00:00,1992,1,8,,1,0,4.376224517822266,-4.940000057220459,-13.90999984741211,0,0,1,0,1,Simulation,5
1,1,Field,1992-01-09 12:00:00,1992,1,9,,1,0,5.293574333190918,-8.479999542236328,-20.139999389648438,0,0,1,0,1,Simulation,5
1,1,Field,1992-01-10 12:00:00,1992,1,10,,1,0,5.951936721801758,-1.6299999952316284,-16.43000030517578,0,0,1,0,1,Simulation,5
1,1,Field,1992-01-11 12:00:00,1992,1,11,,1,0,5.430307865142822,1.940000057220459,-10.0600004196167,0,0,1,0,1,Simulation,5
1,1,Field,1992-01-12 12:00:00,1992,1,12,,1,0,4.480738162994385,-2.180000066757202,-10.920000076293945,0,0,1,0,1,Simulation,5
1,1,Field,1992-01-13 12:00:00,1992,1,13,,1,0.8600000143051147,3.7442121505737305,-8.90999984741211,-15.710000038146973,0,0,1,0,1,Simulation,5
1,1,Field,1992-01-14 12:00:00,1992,1,14,,1,0,4.990179061889648,-10.90999984741211,-20.479999542236328,0,0,1,0,1,Simulation,5
1,1,Field,1992-01-15 12:00:00,1992,1,15,,1,0,6.5808634757995605,-12.15999984741211,-27.93000030517578,0,0,1,0,1,Simulation,5
1,1,Field,1992-01-16 12:00:00,1992,1,16,,1,2.619999885559082,5.378360748291016,0.49000000953674316,-22.329999923706055,0,0,1,0,1,Simulation,5
1,1,Field,1992-01-17 12:00:00,1992,1,17,,1,0,5.6954569816589355,-12.529999732971191,-23.43000030517578,0,0,1,0,1,Simulation,5
1,1,Field,1992-01-18 12:00:00,1992,1,18,,1,0,7.093365669250488,-13.029999732971191,-30.43000030517578,0,0,1,0,1,Simulation,5
1,1,Field,1992-01-19 12:00:00,1992,1,19,,1,0,7.29542875289917,-3.8399999141693115,-22.610000610351563,0,0,1,0,1,Simulation,5
1,1,Field,1992-01-20 12:00:00,1992,1,20,,1,0,7.316251277923584,3.7699999809265137,-14.609999656677246,0,0,1,0,1,Simulation,5
1,1,Field,1992-01-21 12:00:00,1992,1,21,,1,0,6.869625568389893,-0.15000000596046448,-14.350000381469727,0,0,1,0,1,Simulation,5
1,1,Field,1992-01-22 12:00:00,1992,1,22,,1,0,6.7214484214782715,1.8600000143051147,-11.319999694824219,0,0,1,0,1,Simulation,5
1,1,Field,1992-01-23 12:00:00,1992,1,23,,1,0,5.375690460205078,-6.889999866485596,-15.6899995803833,0,0,1,0,1,Simulation,5
1,1,Field,1992-01-24 12:00:00,1992,1,24,,1,1.2200000286102295,6.94475793838501,-11.289999961853027,-23.989999771118164,0,0,1,0,1,Simulation,5
1,1,Field,1992-01-25 12:00:00,1992,1,25,,1,0,6.5177764892578125,-7.550000190734863,-18.649999618530273,0,0,1,0,1,Simulation,5
1,1,Field,1992-01-26 12:00:00,1992,1,26,,1,0,5.423389911651611,-6.380000114440918,-14.710000038146973,0,0,1,0,1,Simulation,5
1,1,Field,1992-01-27 12:00:00,1992,1,27,,1,0,6.7548627853393555,-7.329999923706055,-18.450000762939453,0,0,1,0,1,Simulation,5
1,1,Field,1992-01-28 12:00:00,1992,1,28,,1,0,8.236745834350586,1.8700000047683716,-15.300000190734863,0,0,1,0,1,Simulation,5
1,1,Field,1992-01-29 12:00:00,1992,1,29,,1,0,7.133774757385254,6.190000057220459,-5.820000171661377,0,0,1,0,1,Simulation,5
1,1,Field,1992-01-30 12:00:00,1992,1,30,,1,0,5.899822235107422,5.059999942779541,-3.7699999809265137,0,0,1,0,1,Simulation,5
1,1,Field,1992-01-31 12:00:00,1992,1,31,,1,0,2.747684955596924,0.6899999976158142,-2.9200000762939453,0,0,1,0,1,Simulation,5
1,1,Field,1992-02-01 12:00:00,1992,2,1,,1,0,4.481903553009033,4.010000228881836,-2.119999885559082,0,0,1,0,1,Simulation,5
1,1,Field,1992-02-02 12:00:00,1992,2,2,,1,0,6.271474838256836,6.010000228881836,-3.0199999809265137,0,0,1,0,1,Simulation,5
1,1,Field,1992-02-03 12:00:00,1992,2,3,,1,0,2.8766705989837646,-0.07999999821186066,-3.630000114440918,0,0,1,0,1,Simulation,5
1,1,Field,1992-02-04 12:00:00,1992,2,4,,1,0,4.238839149475098,-0.6600000262260437,-5.880000114440918,0,0,1,0,1,Simulation,5
1,1,Field,1992-02-05 12:00:00,1992,2,5,,1,0,8.297124862670898,6.690000057220459,-5.960000038146973,0,0,1,0,1,Simulation,5
